ThreadCount,MemoryUsedMB,ExecutionTime
100,17,00:00:01.0099892
200,21,00:00:01.0303532
300,149,00:00:01.0468252
400,151,00:00:01.0565510
500,155,00:00:01.0542662
600,160,00:00:01.0434053
700,150,00:00:01.0854104
800,161,00:00:01.0819229
900,251,00:00:01.1265947
1000,222,00:00:01.1142299
1100,230,00:00:01.0867848
1200,240,00:00:01.1378521
1300,215,00:00:01.1709137
1400,226,00:00:01.1235776
1500,177,00:00:01.1590433
1600,164,00:00:01.1693741
1700,177,00:00:01.1457954
1800,222,00:00:01.1816970
1900,204,00:00:01.1948608
2000,218,00:00:01.1658047
2100,236,00:00:01.2333904
2200,266,00:00:01.3027268
2300,351,00:00:01.3319803
2400,178,00:00:01.2160437
2500,198,00:00:01.1732139
2600,272,00:00:01.3213731
2700,211,00:00:01.2561671
2800,185,00:00:01.2689079
2900,206,00:00:01.1961956
3000,281,00:00:01.3891134
3100,213,00:00:01.3010796
3200,190,00:00:01.3048748
3300,215,00:00:01.2327684
3400,241,00:00:01.4656359
3500,268,00:00:01.2805198
3600,243,00:00:01.4047412
3700,273,00:00:01.2633995
3800,245,00:00:01.3630246
3900,276,00:00:01.3223848
4000,252,00:00:01.3910406
4100,283,00:00:01.3760289
4200,246,00:00:01.4035914
4300,242,00:00:01.3747315
4400,276,00:00:01.2967955
4500,323,00:00:01.4841248
4600,363,00:00:01.4161616
4700,313,00:00:01.4569604
4800,216,00:00:01.4504021
4900,355,00:00:01.3777063
5000,274,00:00:01.4382146
5100,247,00:00:01.4637794
5200,242,00:00:01.3933679
5300,309,00:00:01.4472553
5400,285,00:00:01.5218017
5500,303,00:00:01.4390262
5600,231,00:00:01.4996249
5700,376,00:00:01.5391348
5800,330,00:00:01.4951205
5900,316,00:00:01.6630981
6000,225,00:00:01.4824076
6100,325,00:00:01.5417794
6200,301,00:00:02.0773394
6300,271,00:00:01.6701941
6400,249,00:00:01.8952571
6500,385,00:00:01.7456031
6600,307,00:00:01.6647965
6700,279,00:00:01.6435329
6800,255,00:00:01.5145325
6900,350,00:00:01.6146863
7000,363,00:00:01.5813805
7100,268,00:00:01.6740592
7200,375,00:00:01.6603262
7300,340,00:00:01.7077140
7400,304,00:00:01.6990696
7500,287,00:00:01.5881729
7600,382,00:00:01.8225446
7700,346,00:00:01.5577736
7800,312,00:00:01.6171186
7900,288,00:00:01.6605126
8000,377,00:00:01.7436609
8100,364,00:00:01.6462034
8200,336,00:00:01.6566034
8300,297,00:00:01.7263441
8400,398,00:00:01.9176623
8500,364,00:00:01.8328896
8600,352,00:00:01.9587190
8700,301,00:00:01.8431021
8800,407,00:00:01.7538920
8900,382,00:00:01.7835744
9000,339,00:00:01.8352917
9100,334,00:00:01.8291188
9200,398,00:00:02.0210834
9300,367,00:00:02.0216398
9400,354,00:00:01.8129652
9500,310,00:00:01.9400794
9600,412,00:00:01.8076398
9700,408,00:00:01.7299955
9800,383,00:00:01.8242500
9900,315,00:00:02.0324578
10000,448,00:00:01.8194180
